iter	RMSE
761	0.1018490946
762	0.1017897464
763	0.1017389973
764	0.1016978
765	0.1016565463
766	0.1015915516
767	0.1015418665
768	0.101492754
769	0.1014490379
770	0.1013907165
771	0.1013797261
772	0.1013282122
773	0.1012768425
774	0.1012275512
775	0.1011812442
776	0.1011333173
777	0.1010801704
778	0.1010297081
779	0.1009892846
780	0.1009434037
781	0.1009223264
782	0.1008689809
783	0.1008439159
784	0.100786002
785	0.1007400416
786	0.1006903092
787	0.1006451654
788	0.1006059151
789	0.1005730832
790	0.1005317685
791	0.1004856886
792	0.1004488134
793	0.1004181132
794	0.100376183
795	0.1003423573
796	0.100284328
797	0.1002266636
798	0.1001810291
799	0.1001269116
800	0.1000959075
801	0.1000625196
802	0.1000288644
803	0.09998735366
804	0.09994976088
805	0.09990124087
806	0.09986915846
807	0.09982543196
808	0.0997883422
809	0.09974975027
810	0.09971191012
811	0.09967231975
812	0.09963529627
813	0.09959777391
814	0.09956566565
815	0.09952872092
816	0.09947921846
817	0.09944272955
818	0.09940105266
819	0.09936269995
820	0.09932095507
821	0.09928571243
822	0.09924870487
823	0.09919937267
824	0.09916381206
825	0.09914031413
826	0.099108623
827	0.09907311422
828	0.09903654068
829	0.09898969302
830	0.09894958059
831	0.09889905993
832	0.0988676311
833	0.09881959936
834	0.09878619333
835	0.09873565871
836	0.0987157686
837	0.09866635311
838	0.09862106933
839	0.09858158032
840	0.09854880291
841	0.09850276838
842	0.09846867816
843	0.09842922539
844	0.09839027548
845	0.09835212991
846	0.098318057
847	0.09828603495
848	0.09824680434
849	0.09820572637
850	0.09818768996
851	0.09815567697
852	0.09811399553
853	0.09808175507
854	0.09805479505
855	0.09802103794
856	0.0979860283
857	0.09795977378
858	0.09792147874
859	0.09788661659
860	0.09785143133
861	0.09782399678
862	0.09777523093
863	0.09773783281
864	0.09770516388
865	0.09768180792
866	0.09763861551
867	0.09759933364
868	0.0975731997
869	0.0975385113
870	0.09750895322
871	0.09747782721
872	0.09744460304
873	0.0974207502
874	0.09738351035
875	0.09734692696
876	0.09731940264
877	0.09728921261
878	0.09725769468
879	0.09721831898
880	0.09718658113
881	0.0971437972
882	0.09711392956
883	0.09708381656
884	0.09704257873
885	0.09700713053
886	0.09696265947
887	0.09692885807
888	0.09689002375
889	0.09685885248
890	0.09682897176
891	0.09679503337
892	0.09676771128
893	0.0967368833
894	0.09671035443
895	0.09668127067
896	0.09665483311
897	0.09662611722
898	0.09658836661
899	0.0965598985
900	0.09652476116
901	0.09650682763
902	0.09648208871
903	0.0964502537
904	0.09641490421
905	0.09638865688
906	0.09636441547
907	0.0963428266
908	0.09631401741
909	0.09628430056
910	0.09624484913
911	0.09622122387
912	0.09619463197
913	0.0961682169
914	0.09614196996
915	0.09611657852
916	0.09609071739
917	0.09606274202
918	0.09603799897
919	0.09601036551
920	0.09598032225
921	0.09595609949
922	0.09592339175
923	0.09589401327
924	0.09585764421
925	0.09583131276
926	0.09580626422
927	0.09577801346
928	0.09575808855
929	0.09573401343
930	0.09570478381
931	0.09568141397
932	0.09565304266
933	0.09562942554
934	0.09559687197
935	0.09556856134
936	0.09554615433
937	0.09552315416
938	0.0955001537
939	0.09547206812
940	0.09544700311
941	0.09542057676
942	0.09539352313
943	0.09536240752
944	0.09533714053
945	0.0953124
946	0.09528219996
947	0.09524802069
948	0.09521364814
949	0.09519317396
950	0.09516585893
951	0.09514088622
952	0.0951202198
953	0.09510156618
954	0.09508170593
955	0.09505209214
956	0.09502315721
957	0.09499810178
958	0.09498150646
959	0.09495647997
960	0.09493541324
961	0.09491653188
962	0.09490222874
963	0.09488077046
964	0.0948515265
965	0.09483343615
966	0.09480757524
967	0.09477595479
968	0.09475145283
969	0.09472580346
970	0.09469197887
971	0.09467205349
972	0.09464968461
973	0.09462154605
974	0.09459720233
975	0.09457077615
976	0.09455166444
977	0.09453111831
978	0.09451204232
979	0.09449816368
980	0.09447912194
981	0.09445790413
982	0.09444411503
983	0.094424143
984	0.09440105096
985	0.09438606864
986	0.09436266323
987	0.09434590299
988	0.09433140875
989	0.09430627652
990	0.09428094874
991	0.09426234723
992	0.09424589793
993	0.09423023982
994	0.09419247707
995	0.09417726861
996	0.09415561743
997	0.09414227298
998	0.09411882341
999	0.0940981997
1000	0.09407501097
1001	0.09405762947
1002	0.09403778286
1003	0.09402136448
1004	0.09399848334
1005	0.09397115494
1006	0.09395675108
1007	0.09393916047
1008	0.09391747418
1009	0.09390312122
1010	0.09388651534
1011	0.09387048837
1012	0.09384349354
1013	0.09382603768
1014	0.09380746994
1015	0.09378491904
1016	0.09376948327
1017	0.09374422076
1018	0.09372249761
1019	0.09370262119
1020	0.09367278929
1021	0.09364633158
1022	0.09362049031
1023	0.09360461051
1024	0.09358146398
1025	0.09355149483
1026	0.09353436574
1027	0.09351279338
1028	0.09349430026
1029	0.09347132312
1030	0.09344327835
1031	0.09342512424
1032	0.0934043721
1033	0.09337611192
1034	0.09335243278
1035	0.09333615684
1036	0.09331340354
1037	0.09329401428
1038	0.09327417032
1039	0.09325543161
1040	0.0932363779
1041	0.09321986404
1042	0.09319957871
1043	0.09317722123
1044	0.09316242959
1045	0.09314760638
1046	0.09311906329
1047	0.09310386147
1048	0.0930843561
1049	0.09306605315
1050	0.09304399275
1051	0.09303001105
1052	0.09300757171
1053	0.0929822105
1054	0.09296410463
1055	0.09294748861
1056	0.09293037033
1057	0.09291239698
1058	0.09288406918
1059	0.09286268279
1060	0.09284225505
1061	0.09282841184
1062	0.09281237958
1063	0.09279155098
1064	0.0927728135
1065	0.09275265693
1066	0.0927358358
1067	0.09271579913
1068	0.09269901096
1069	0.09268136407
1070	0.09265625612
1071	0.09263523008
1072	0.09261501316
1073	0.09259883808
1074	0.09258001262
1075	0.09255917436
1076	0.0925378292
1077	0.09251999429
1078	0.09250140452
1079	0.09248444956
1080	0.09246467984
1081	0.09244534628
1082	0.09242617648
1083	0.09241141274
1084	0.09239781706
1085	0.09238373938
1086	0.09236744923
1087	0.09234865449
1088	0.09233124613
1089	0.09231294549
1090	0.09228903371
1091	0.09227070867
1092	0.09225289724
1093	0.09223461685
1094	0.09221426291
1095	0.09220114633
1096	0.09218479955
1097	0.09216660804
1098	0.09214298139
1099	0.09212349381
1100	0.09210669614
1101	0.09208940796
1102	0.09206263874
1103	0.09204908597
1104	0.09203221087
1105	0.09202070098
1106	0.09200645601
1107	0.09198767064
1108	0.09196667192
1109	0.09195178303
1110	0.09193594635
1111	0.09192193572
1112	0.09191090244
1113	0.0918993426
1114	0.09188283199
1115	0.09186656994
1116	0.09184952895
1117	0.09183698236
1118	0.09182207495
1119	0.09181087994
1120	0.09179699255
1121	0.09178285927
1122	0.09176535881
1123	0.09174975508
1124	0.09173754309
1125	0.09172488777
1126	0.09171297185
1127	0.0916919561
1128	0.09167313621
1129	0.09165416213
1130	0.09164489366
1131	0.09162812941
1132	0.09161398347
1133	0.09159933676
1134	0.09158247452
1135	0.09156638236
1136	0.09155234047
1137	0.09153828004
1138	0.0915122617
1139	0.09149850677
1140	0.0914857748
1141	0.09147390125
1142	0.09145942339
1143	0.0914451988
1144	0.09143201483
1145	0.09141192325
1146	0.09139776921
1147	0.0913768711
1148	0.09136288783
1149	0.09135363052
1150	0.09133985221
1151	0.09131706229
1152	0.09130368243
1153	0.09128927464
1154	0.0912692484
1155	0.09125303104
1156	0.09124129275
1157	0.09122375327
1158	0.09120877627
1159	0.09119689116
1160	0.09118612332
1161	0.09117409362
1162	0.09116217096
1163	0.09115365906
1164	0.09113222836
1165	0.09112219516
1166	0.09110668606
1167	0.09109378158
1168	0.09107866165
1169	0.09106123942
1170	0.09104608133
1171	0.09103691125
1172	0.09102017423
1173	0.09100993594
1174	0.09099150351
1175	0.09097723865
1176	0.09096623252
1177	0.09095280736
1178	0.09093479411
1179	0.09092407696
1180	0.09091301988
1181	0.09090541499
1182	0.09089056521
1183	0.09087399106
1184	0.09086261179
1185	0.09084390119
1186	0.09082885357
1187	0.09081819364
1188	0.09080473969
1189	0.09079279525
1190	0.09077858318
1191	0.09076043702
1192	0.09074819566
1193	0.09072774865
1194	0.09071612906
1195	0.09070236429
1196	0.09068838149
1197	0.09067446059
1198	0.09066257566
1199	0.09065160493
1200	0.09063923235
1201	0.09062634994
1202	0.090608659
1203	0.09058988183
1204	0.09057673627
1205	0.09056049455
1206	0.09054291723
1207	0.09052554175
1208	0.09051046964
1209	0.09049648944
1210	0.09047909774
1211	0.09046544279
1212	0.09045537552
1213	0.09044129519
1214	0.0904246286
1215	0.09041469456
1216	0.09040119969
1217	0.09038275864
1218	0.09036895848
1219	0.09035199233
1220	0.09034042346
1221	0.09033212213
1222	0.09032092335
1223	0.09030830656
1224	0.09029159409
1225	0.09027825178
1226	0.09026829386
1227	0.09025398608
1228	0.09024051308
1229	0.0902280134
1230	0.0902173045
1231	0.09020740518
1232	0.09019168207
1233	0.09017632257
1234	0.09016574519
1235	0.09015351836
1236	0.09014140701
1237	0.0901292415
1238	0.09011697433
1239	0.09010541486
1240	0.09009197102
1241	0.09008493801
1242	0.09007470798
1243	0.09006056491
1244	0.09003954401
1245	0.09002376055
1246	0.0900105105
1247	0.08999544616
1248	0.08998678197
1249	0.08997356135
1250	0.08996045646
1251	0.08994969162
1252	0.08993753679
1253	0.08992762209
1254	0.08991576945
1255	0.0899032468
1256	0.0898887165
1257	0.08987733184
1258	0.08986605018
1259	0.08985829896
1260	0.08984628779
1261	0.08983808323
1262	0.08982225749
1263	0.08980657773
1264	0.08979239535
1265	0.08977923473
1266	0.08976966094
1267	0.08976157388
1268	0.08974844809
1269	0.08973340888
1270	0.08972102879
1271	0.08971119076
1272	0.08969992098
1273	0.08968791104
1274	0.08967644912
1275	0.08965897469
1276	0.08964771484
1277	0.08963766069
1278	0.08963069397
1279	0.08961850688
1280	0.08960881065
1281	0.08959809275
1282	0.08958719998
1283	0.08958154556
1284	0.08957241508
1285	0.0895638837
1286	0.08955192569
1287	0.08954282746
1288	0.08953280101
1289	0.08952154675
1290	0.08950400548
1291	0.08949746836
1292	0.08948466612
1293	0.08947779204
1294	0.0894697483
1295	0.08945773471
1296	0.08944675683
1297	0.08943724414
1298	0.08942996208
1299	0.08941811334
1300	0.08940691115
1301	0.08939500229
1302	0.08938425807
1303	0.08937443432
1304	0.08936027675
1305	0.08934719477
1306	0.08933668251
1307	0.0893225685
1308	0.08931659471
1309	0.08930604102
1310	0.08929485
1311	0.08928374868
1312	0.08927351087
1313	0.08926420135
1314	0.0892531254
1315	0.08924345167
1316	0.08923492351
1317	0.08922951876
1318	0.08921947964
1319	0.08920763058
1320	0.08919942526
1321	0.08918917589
1322	0.08917952604
1323	0.08916884813
1324	0.08916222789
1325	0.0891542725
1326	0.08914675378
1327	0.08913774109
1328	0.08912791433
1329	0.08911781879
1330	0.08910800545
1331	0.08909855298
1332	0.08908672679
1333	0.08907533529
1334	0.08906736256
1335	0.0890573351
1336	0.08904469851
1337	0.08903522103
1338	0.08902285263
1339	0.08901347048
1340	0.08900416313
1341	0.08898833068
1342	0.08898154865
1343	0.088969585
1344	0.08896161184
1345	0.08895027853
1346	0.08894263682
1347	0.08893511911
1348	0.08892440468
1349	0.0889111952
1350	0.08890047521
1351	0.08889271685
1352	0.08888213793
1353	0.08887191652
1354	0.08886503886
1355	0.0888560815
1356	0.08884851344
1357	0.08883259775
1358	0.08882341792
1359	0.08881424928
1360	0.08880338305
1361	0.08879463114
1362	0.0887850804
1363	0.08877624177
1364	0.08876712093
1365	0.08876091452
1366	0.08875258112
1367	0.08874387242
1368	0.08873649646
1369	0.08872998848
1370	0.0887183344
1371	0.08870894559
1372	0.08869941614
1373	0.0886917439
1374	0.08868037559
1375	0.08867069622
1376	0.0886642913
1377	0.08865404558
1378	0.08864641253
1379	0.08863567397
1380	0.08862690591
1381	0.0886123785
1382	0.08860406401
1383	0.08859602629
1384	0.08858721048
1385	0.08857853283
1386	0.08857283929
1387	0.0885629787
1388	0.08855745331
1389	0.08854744765
1390	0.08853726617
1391	0.08853020807
1392	0.08852029376
1393	0.08850765307
1394	0.08850099229
1395	0.08849349639
1396	0.08848511772
1397	0.08847546403
1398	0.0884682286
1399	0.08846115691
1400	0.08845090319
1401	0.08844199023
1402	0.08843223374
1403	0.08842072571
1404	0.08841387918
1405	0.08840663901
1406	0.08839822463
1407	0.08838700369
1408	0.08837602226
1409	0.08837065357
1410	0.08836513878
1411	0.08835230466
1412	0.08834413407
1413	0.08833258865
1414	0.08832596148
1415	0.08831759682
1416	0.08830921704
1417	0.08829845149
1418	0.08829136105
1419	0.08828270779
1420	0.08827268112
1421	0.08826807537
1422	0.08825970955
1423	0.08825389275
1424	0.08824756285
1425	0.0882385152
1426	0.08823636504
1427	0.08822455179
1428	0.08821422887
1429	0.08820556605
1430	0.08819658033
1431	0.08818975767
1432	0.08817940528
1433	0.08816926692
1434	0.08816234311
