iter	Passed	Remaining
881	197	138
882	198	138
883	198	138
884	198	138
885	198	137
886	199	137
887	199	137
888	199	137
889	199	136
890	200	136
891	200	136
892	200	136
893	200	136
894	200	135
895	201	135
896	201	135
897	201	135
898	201	134
899	201	134
900	202	134
901	202	134
902	202	133
903	202	133
904	203	133
905	203	133
906	203	133
907	203	132
908	203	132
909	204	132
910	204	132
911	204	131
912	204	131
913	205	131
914	205	131
915	205	131
916	205	130
917	205	130
918	206	130
919	206	130
920	206	129
921	206	129
922	206	129
923	207	129
924	207	128
925	207	128
926	207	128
927	208	128
928	208	128
929	208	127
930	208	127
931	209	127
932	209	127
933	209	126
934	209	126
935	209	126
936	210	126
937	210	126
938	210	125
939	211	125
940	211	125
941	211	125
942	211	125
943	211	124
944	212	124
945	212	124
946	212	124
947	212	123
948	213	123
949	213	123
950	213	123
951	214	123
952	214	122
953	214	122
954	214	122
955	214	122
956	215	122
957	215	121
958	215	121
959	215	121
960	215	121
961	216	121
962	217	121
963	217	120
964	217	120
965	217	120
966	218	120
967	218	119
968	218	119
969	218	119
970	219	119
971	219	119
972	219	118
973	219	118
974	220	118
975	220	118
976	220	118
977	220	117
978	220	117
979	221	117
980	221	117
981	221	116
982	221	116
983	222	116
984	222	116
985	222	115
986	222	115
987	222	115
988	223	115
989	223	115
990	223	114
991	223	114
992	224	114
993	224	114
994	224	114
995	225	113
996	225	113
997	225	113
998	225	113
999	226	113
1000	226	112
1001	226	112
1002	226	112
1003	226	112
1004	227	111
1005	227	111
1006	227	111
1007	227	111
1008	228	110
1009	228	110
1010	228	110
1011	229	110
1012	229	110
1013	229	110
1014	229	109
1015	229	109
1016	230	109
1017	230	109
1018	230	108
1019	231	108
1020	231	108
1021	231	108
1022	231	108
1023	231	107
1024	232	107
1025	232	107
1026	232	107
1027	232	106
1028	233	106
1029	233	106
1030	233	106
1031	233	106
1032	234	105
1033	234	105
1034	234	105
1035	235	105
1036	235	105
1037	235	104
1038	235	104
1039	235	104
1040	236	104
1041	236	103
1042	236	103
1043	236	103
1044	236	103
1045	237	102
1046	237	102
1047	237	102
1048	237	102
1049	237	101
1050	238	101
1051	238	101
1052	238	101
1053	239	101
1054	239	100
1055	239	100
1056	239	100
1057	240	100
1058	240	100
1059	240	99
1060	240	99
1061	240	99
1062	241	99
1063	241	98
1064	241	98
1065	241	98
1066	242	98
1067	242	98
1068	242	97
1069	243	97
1070	243	97
1071	243	97
1072	243	97
1073	244	96
1074	244	96
1075	244	96
1076	244	96
1077	245	95
1078	245	95
1079	245	95
1080	245	95
1081	245	95
1082	246	94
1083	246	94
1084	246	94
1085	247	94
1086	247	94
1087	247	93
1088	247	93
1089	248	93
1090	248	93
1091	248	92
1092	248	92
1093	248	92
1094	249	92
1095	249	91
1096	249	91
1097	249	91
1098	250	91
1099	250	91
1100	250	90
1101	250	90
1102	251	90
1103	251	90
1104	251	89
1105	251	89
1106	251	89
1107	252	89
1108	252	89
1109	252	88
1110	253	88
1111	253	88
1112	253	88
1113	253	87
1114	254	87
1115	254	87
1116	254	87
1117	254	87
1118	255	86
1119	255	86
1120	255	86
1121	255	86
1122	255	85
1123	256	85
1124	256	85
1125	256	85
1126	256	84
1127	256	84
1128	257	84
1129	257	84
1130	257	84
1131	257	83
1132	258	83
1133	258	83
1134	258	83
1135	258	82
1136	258	82
1137	259	82
1138	259	82
1139	259	81
1140	260	81
1141	260	81
1142	260	81
1143	260	81
1144	260	80
1145	261	80
1146	261	80
1147	261	80
1148	261	79
1149	262	79
1150	262	79
1151	262	79
1152	262	79
1153	262	78
1154	263	78
1155	263	78
1156	263	78
1157	263	77
1158	263	77
1159	264	77
1160	264	77
1161	264	76
1162	264	76
1163	265	76
1164	265	76
1165	265	76
1166	265	75
1167	265	75
1168	266	75
1169	266	75
1170	266	74
1171	266	74
1172	267	74
1173	267	74
1174	267	74
1175	267	73
1176	268	73
1177	268	73
1178	268	73
1179	268	72
1180	268	72
1181	269	72
1182	269	72
1183	269	71
1184	269	71
1185	269	71
1186	270	71
1187	270	71
1188	270	70
1189	270	70
1190	270	70
1191	271	70
1192	271	69
1193	271	69
1194	272	69
1195	272	69
1196	272	68
1197	272	68
1198	272	68
1199	273	68
1200	273	68
1201	273	67
1202	273	67
1203	273	67
1204	274	67
1205	274	66
1206	274	66
1207	274	66
1208	275	66
1209	275	66
1210	275	65
1211	275	65
1212	276	65
1213	276	65
1214	276	64
1215	276	64
1216	277	64
1217	277	64
1218	277	63
1219	277	63
1220	277	63
1221	278	63
1222	278	63
1223	278	62
1224	278	62
1225	278	62
1226	279	62
1227	279	61
1228	279	61
1229	279	61
1230	279	61
1231	280	60
1232	280	60
1233	280	60
1234	280	60
1235	280	60
1236	281	59
1237	281	59
1238	281	59
1239	281	59
1240	282	58
1241	282	58
1242	282	58
1243	282	58
1244	283	57
1245	283	57
1246	283	57
1247	283	57
1248	283	57
1249	284	56
1250	284	56
1251	284	56
1252	284	56
1253	285	55
1254	285	55
1255	285	55
1256	285	55
1257	285	54
1258	286	54
1259	286	54
1260	286	54
1261	286	54
1262	286	53
1263	287	53
1264	287	53
1265	287	53
1266	287	52
1267	287	52
1268	288	52
1269	288	52
1270	288	51
1271	288	51
1272	289	51
1273	289	51
1274	289	51
1275	289	50
1276	289	50
1277	290	50
1278	290	50
1279	290	49
1280	290	49
1281	291	49
1282	291	49
1283	292	49
1284	292	48
1285	292	48
1286	292	48
1287	293	48
1288	293	47
1289	293	47
1290	293	47
1291	293	47
1292	294	47
1293	294	46
1294	294	46
1295	294	46
1296	295	46
1297	295	45
1298	295	45
1299	295	45
1300	295	45
1301	296	45
1302	296	44
1303	296	44
1304	296	44
1305	296	44
1306	297	43
1307	297	43
1308	297	43
1309	297	43
1310	298	42
1311	298	42
1312	298	42
1313	298	42
1314	298	42
1315	299	41
1316	299	41
1317	299	41
1318	299	41
1319	300	40
1320	300	40
1321	300	40
1322	300	40
1323	301	40
1324	301	39
1325	301	39
1326	301	39
1327	301	39
1328	302	38
1329	302	38
1330	302	38
1331	302	38
1332	303	37
1333	303	37
1334	303	37
1335	303	37
1336	304	37
1337	304	36
1338	304	36
1339	304	36
1340	304	36
1341	305	35
1342	305	35
1343	305	35
1344	305	35
1345	306	35
1346	306	34
1347	306	34
1348	306	34
1349	307	34
1350	307	33
1351	307	33
1352	307	33
1353	307	33
1354	308	32
1355	308	32
1356	308	32
1357	308	32
1358	309	32
1359	309	31
1360	309	31
1361	309	31
1362	310	31
1363	310	30
1364	310	30
1365	310	30
1366	310	30
1367	311	30
1368	311	29
1369	311	29
1370	311	29
1371	311	29
1372	312	28
1373	312	28
1374	312	28
1375	312	28
1376	312	27
1377	313	27
1378	313	27
1379	313	27
1380	313	27
1381	314	26
1382	314	26
1383	314	26
1384	314	26
1385	314	25
1386	315	25
1387	315	25
1388	315	25
1389	315	24
1390	316	24
1391	316	24
1392	316	24
1393	316	24
1394	317	23
1395	317	23
1396	317	23
1397	317	23
1398	318	22
1399	318	22
1400	318	22
1401	318	22
1402	319	22
1403	319	21
1404	319	21
1405	320	21
1406	320	21
1407	320	20
1408	321	20
1409	321	20
1410	321	20
1411	321	20
1412	321	19
1413	322	19
1414	322	19
1415	322	19
1416	322	18
1417	322	18
1418	323	18
1419	323	18
1420	323	18
1421	324	17
1422	324	17
1423	324	17
1424	324	17
1425	325	16
1426	325	16
1427	325	16
1428	325	16
1429	326	15
1430	326	15
1431	326	15
1432	326	15
1433	326	15
1434	327	14
1435	327	14
1436	327	14
1437	327	14
1438	328	13
1439	328	13
1440	328	13
1441	328	13
1442	328	12
1443	329	12
1444	329	12
1445	329	12
1446	329	12
1447	329	11
1448	330	11
1449	330	11
1450	330	11
1451	330	10
1452	331	10
1453	331	10
1454	331	10
1455	331	10
1456	331	9
1457	332	9
1458	332	9
1459	332	9
1460	332	8
1461	333	8
1462	333	8
1463	333	8
1464	333	7
1465	334	7
1466	334	7
1467	334	7
1468	334	7
1469	335	6
1470	335	6
1471	335	6
1472	335	6
1473	335	5
1474	336	5
1475	336	5
1476	336	5
1477	336	5
1478	337	4
1479	337	4
1480	337	4
1481	337	4
1482	337	3
1483	338	3
1484	338	3
1485	338	3
1486	338	2
1487	338	2
1488	339	2
1489	339	2
1490	339	2
1491	339	1
1492	339	1
1493	340	1
1494	340	1
1495	340	0
1496	340	0
1497	340	0
1498	341	0
1499	341	0
